Date,Views,Forecast(Views),Lower Confidence Bound(Views),Upper Confidence Bound(Views)
6/1/2022,58,,,
6/2/2022,63,,,
6/3/2022,67,,,
6/4/2022,71,,,
6/5/2022,61,,,
6/6/2022,87,,,
6/7/2022,92,,,
6/8/2022,98,,,
6/9/2022,100,,,
6/10/2022,119,,,
6/11/2022,103,,,
6/12/2022,118,,,
6/13/2022,134,,,
6/14/2022,152,,,
6/15/2022,151,,,
6/16/2022,162,,,
6/17/2022,149,,,
6/18/2022,174,,,
6/19/2022,179,,,
6/20/2022,198,,,
6/21/2022,195,,,
6/22/2022,186,,,
6/23/2022,156,,,
6/24/2022,171,,,
6/25/2022,308,,,
6/26/2022,320,,,
6/27/2022,458,,,
6/28/2022,584,,,
6/29/2022,795,,,
6/30/2022,831,,,
7/1/2022,553,,,
7/2/2022,545,,,
7/3/2022,549,,,
7/4/2022,697,,,
7/5/2022,979,,,
7/6/2022,953,,,
7/7/2022,918,,,
7/8/2022,703,,,
7/9/2022,1051,,,
7/10/2022,1251,,,
7/11/2022,1353,,,
7/12/2022,1187,,,
7/13/2022,1206,,,
7/14/2022,906,,,
7/15/2022,809,,,
7/16/2022,663,,,
7/17/2022,622,,,
7/18/2022,726,,,
7/19/2022,895,,,
7/20/2022,916,,,
7/21/2022,893,,,
7/22/2022,751,,,
7/23/2022,988,,,
7/24/2022,904,,,
7/25/2022,709,,,
7/26/2022,784,,,
7/27/2022,765,,,
7/28/2022,688,,,
7/29/2022,1310,,,
7/30/2022,1204,,,
7/31/2022,932,,,
8/1/2022,966,,,
8/2/2022,793,,,
8/3/2022,780,,,
8/4/2022,935,,,
8/5/2022,715,,,
8/6/2022,723,,,
8/7/2022,713,,,
8/8/2022,733,,,
8/9/2022,1021,,,
8/10/2022,820,,,
8/11/2022,695,,,
8/12/2022,771,,,
8/13/2022,727,,,
8/14/2022,773,,,
8/15/2022,911,,,
8/16/2022,928,,,
8/17/2022,958,,,
8/18/2022,796,,,
8/19/2022,839,,,
8/20/2022,1041,,,
8/21/2022,1322,,,
8/22/2022,1344,,,
8/23/2022,992,,,
8/24/2022,815,,,
8/25/2022,943,,,
8/26/2022,1066,,,
8/27/2022,1039,,,
8/28/2022,972,,,
8/29/2022,1058,,,
8/30/2022,961,,,
8/31/2022,931,,,
9/1/2022,887,,,
9/2/2022,823,,,
9/3/2022,807,,,
9/4/2022,1266,,,
9/5/2022,1827,,,
9/6/2022,1289,,,
9/7/2022,973,,,
9/8/2022,841,,,
9/9/2022,742,,,
9/10/2022,1050,,,
9/11/2022,960,,,
9/12/2022,1010,,,
9/13/2022,1017,,,
9/14/2022,1130,,,
9/15/2022,961,,,
9/16/2022,934,,,
9/17/2022,821,,,
9/18/2022,793,,,
9/19/2022,724,,,
9/20/2022,774,,,
9/21/2022,1146,,,
9/22/2022,934,,,
9/23/2022,689,,,
9/24/2022,892,,,
9/25/2022,982,,,
9/26/2022,680,,,
9/27/2022,614,,,
9/28/2022,743,,,
9/29/2022,970,,,
9/30/2022,724,,,
10/1/2022,859,,,
10/2/2022,1412,,,
10/3/2022,1219,,,
10/4/2022,987,,,
10/5/2022,1056,,,
10/6/2022,1050,,,
10/7/2022,1164,,,
10/8/2022,1214,,,
10/9/2022,1510,,,
